ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title,Direction
218665_at,3.24e-17,3.82e-19,-1.07e+01,32.9586563,-3.05,FZD4,frizzled class receptor 4,Downregulated
201890_at,3.37e-17,3.98e-19,1.07e+01,32.9172787,4.47,RRM2,ribonucleotide reductase regulatory subunit M2,Upregulated
226064_s_at,3.47e-17,4.11e-19,-1.07e+01,32.8871578,-5.16,DGAT2,diacylglycerol O-acyltransferase 2,Downregulated
201291_s_at,6.55e-17,8.06e-19,1.06e+01,32.219803,4.55,TOP2A,topoisomerase (DNA) II alpha,Upregulated
218730_s_at,6.58e-17,8.12e-19,-1.06e+01,32.2124785,-3.60,OGN,osteoglycin,Downregulated
208079_s_at,7.58e-17,9.48e-19,1.05e+01,32.0595198,3.67,AURKA,aurora kinase A,Upregulated
202022_at,7.71e-17,9.65e-19,-1.05e+01,32.0412992,-3.90,ALDOC,"aldolase, fructose-bisphosphate C",Downregulated
204039_at,1.01e-16,1.30e-18,-1.05e+01,31.7451399,-3.20,CEBPA,CCAAT/enhancer binding protein alpha,Downregulated
208607_s_at,1.01e-16,1.30e-18,-1.05e+01,31.7440446,-5.37,SAA2-SAA4///SAA2///SAA1,SAA2-SAA4 readthrough///serum amyloid A2///serum amyloid A1,Downregulated
33322_i_at,1.15e-16,1.50e-18,1.04e+01,31.6025937,3.72,SFN,stratifin,Upregulated
243864_at,1.25e-16,1.64e-18,-1.04e+01,31.5181181,-3.16,CCDC80,coiled-coil domain containing 80,Downregulated
203065_s_at,1.54e-16,2.04e-18,-1.04e+01,31.3025891,-4.54,CAV1,caveolin 1,Downregulated
241359_at,1.62e-16,2.17e-18,-1.04e+01,31.2407349,-3.10,TLCD2,TLC domain containing 2,Downregulated
209512_at,1.70e-16,2.29e-18,-1.04e+01,31.1858718,-3.44,HSDL2,hydroxysteroid dehydrogenase like 2,Downregulated
219295_s_at,1.70e-16,2.30e-18,-1.04e+01,31.1841702,-5.74,PCOLCE2,procollagen C-endopeptidase enhancer 2,Downregulated
1552797_s_at,1.81e-16,2.46e-18,1.04e+01,31.116872,4.12,PROM2,prominin 2,Upregulated
